33,"Some machine 02", "Machine 02 is a setup of IoT sensors and ...",EGHHRDSS, 2017-12-02 23:55:66.333+01:00, deleted
32,"Machine 12 is a setup of IoT transmitters, and is a setup of IoT transmitters and is a setup of IoT transmitters and is a setup of IoT transmitters and is a setup of IoT transmitters and", "Machine 12 is a setup of IoT transmitters  and ...",AAGH, 2017-02-02 23:55:66.333+01:00, enabled
3,"Machine 3", "Machine 03 ...",XEGHHRDSS, 2017-02-02 23:55:66.333+01:00, deleted
55,"Machine 55", "Machine 55 ...",XGHRRLII756FDFG, 2017-11-03 23:55:66.333+01:00, 2018-02-02 23:55:66.333+01:00, enabled
66,"Machine 02", "Machine 6	6",X8945435FGFHGXC, 2017-11-03 23:55:66.333+01:00, 2018-02-02 23:55:66.333+01:00, enabled
34,"Machine 02", "Machine 3,4",000HHFGTZRZU, 2017-11-03 23:55:66.333+01:00, 2017-01-02 23:55:66.333+01:00, enabled
98,"Machine 02", " d",DFGDFHFDGH44, 2017-11-03 23:55:66.333+01:00, 2017-02-32 23:55:66.333+01:00, enabled
134,"Machine 02", ".",TJHZUTJEWERT, 2015-11-03 23:55:66.333+01:00, 2017-12-02 23:55:66.333+01:00, enabled
333"Machine 02", "..",RTHTRHZTHRGSWER45645, 2017-11-03 23:55:66.333+01:00, 2017-12-02 23:55:66.333+01:00, enabled
667,"Machine 02", ",	TZJZ456WEFWEF45, 2019-11-03 23:55:66.333+01:00, 2017-11-21 23:55:66.333+01:00, enabled
33,"Machine 02", Test,GRFHGFTHFGHFGH, 2055-11-03 23:55:66.333+01:00, 2018-02-02 23:55:66.333+01:00, enabled
12,"Machine 02", ",",DEADBEEFDEADBEEF, 2066-11-03 23:55:66.333+01:00, 2018-02-02 23:55:66.333+01:00, enabled
1,"Machine 1 is a setup of , "Machine 12 is a setup of IoT transmitters  and ...",EJHHRDSS, "2017-11-03 23:55:66.333+01:00", 2018-02-02 23:55:66.333+01:00, enabled
